#  SN  Redshift    T0         RV   AVgal  AVhost   Mu0    Delta   ChiSqr 
# ------------------------------------------------------------------------
2019bkh 0.019500  58557.000  3.10  0.029  0.340  35.1000 -0.250 1.432174
2019cth 0.013400  58596.700  3.10  0.075  0.120  33.8500  0.240 0.270679
2019ein 0.007800  58619.800  3.10  0.031  0.030  32.9000  0.490 0.384465
2019np  0.004400  58510.400  3.10  0.053  0.220  32.4000 -0.020 0.145430
2019enm 0.030800  58938.200  3.10  0.046  0.380  35.6000 -0.170 1.003644
2020fob 0.031500  58947.000  3.10  0.131  0.040  35.7000  0.780 1.499124
2020hvq 0.019000  58973.600  3.10  0.110  0.130  35.1000 -0.130 0.486445
2020rqk 0.023900  59094.000  3.10  0.079  0.100  35.2000  0.050 0.721580
2020tug 0.050000  59128.100  3.10  0.077  0.170  36.8000 -0.120 1.508733
2020ue  0.003000  58873.800  3.10  0.075  0.000  30.8100  0.580 0.354562
2020uxz 0.008300  59144.400  3.10  0.103  0.000  32.8000 -0.050 0.286140
2021accx 0.03100  59523.400  3.10  0.257  0.090  35.6500 -0.140 0.294568
2021afsj 0.012238  59561.330  3.10  0.053  0.330  33.6000  0.030 0.824911
2021gtp 0.019685  59309.020  3.10  0.108  0.620  34.6000 -0.120 0.580239
2021dov 0.012700  59284.800  3.10  0.093  0.780  33.2000 -0.430 0.745950
2021hiz 0.003300  59320.700  3.10  0.069  0.290  32.1000  0.100 0.285449
2021hpr 0.009400  59323.000  3.10  0.069  0.270  33.1000  0.020 0.303311
2021rhu 0.003500  59411.000  3.10  0.119  0.280  30.8000  0.620 0.900713
2021ucm 0.024000  59435.000  3.10  0.184  0.330  35.1000 -0.220 0.865776
2021wuf 0.010000  59461.800  3.10  0.241  0.040  33.0500 -0.020 0.557166
2021yrf 0.016600  59480.800  3.10  1.021  0.180  34.5000  0.090 0.932825
2021ytp 0.065000  59478.500  3.10  0.153  0.320  37.1000 -0.060 0.805415
2022fw 0.006686  59603.850  3.10  0.099  0.800  32.2000 -0.210 0.463852
2022hrs 0.004700  59699.640  3.10  0.074  0.510  31.1000  0.100 0.762993
2022ydr 0.024931  59883.090  3.10  0.100  0.000  35.4000  1.120 1.536342
2022zut 0.003310  59904.140  3.10  0.118  0.890  31.1900 -0.100 0.935777
2022aaiq 0.006484  59912.340  3.10  0.053  0.400  32.5000 -0.100 0.205276
2023bee 0.006698  59993.930  3.10  0.043  0.000  32.6000 -0.300 0.721423
