#SN           z         t0        t0_err      x0    x0_err    x1    x1_err    c        c_err     mB     mB_err		MB		MB_err 
SN2019bkh  0.01951  58556.96481  0.07682  0.00601  7e-05  1.05031  0.07568  0.0927  0.00867  16.16322  0.17735  -18.89384 0.17735 
SN2019ein  0.00775  58619.76647  0.05205  0.04381  0.00045  -1.92287  0.0466  -0.05063  0.00827  14.00919  0.14344  -18.90609 0.14344 
SN2019cth  0.01343  58596.67702  0.06805  0.01778  0.00033  -0.3139  0.08038  0.05771  0.01116  14.98742  0.27537  -18.81198 0.27537 
SN2019np  0.00442  58510.42422  0.021  0.0743  0.00057  0.455  0.02856  0.05693  0.00484  13.43421  0.10367  -18.91654 0.10367 
SN2020enm  0.03076  58938.19149  0.18772  0.00381  4e-05  0.78607  0.10366  0.08515  0.00798  16.65785  0.17401  -18.88002 0.17401 
SN2020fob  0.03151  58947.0  0.00791  0.00196  3e-05  -1.70529  0.11654  0.17252  0.013  17.37857  0.28379  -18.3 0.28379 
SN2020hvq  0.01904  58972.64 0.09   0.0070 0.0001  0.4046 0.1042   0.1236 0.0134   15.99 0.1  -18.73 0.1 
SN2020rqk  0.02389  59093.95396  0.05383  0.0065  6e-05  -0.11636  0.07121  -0.01847  0.0071  16.08026  0.15258  -19.05505 0.15258 
SN2020tug  0.05  59128.05368  0.14471  0.00167  5e-05  0.95144  0.1996  -0.01893  0.01982  17.55713  0.4882  -19.19835 0.4882 
SN2020ue  0.003  58873.78881  0.05629  0.28675  0.00283  -2.41365  0.04539  -0.06644  0.00681  11.96959  0.11819  -18.88596 0.11819 
SN2020uxz  0.00825  59144.36496  0.03258  0.07318  0.00068  0.76611  0.04359  -0.05492  0.00631  13.44967  0.12496  -19.27629 0.12496 
SN2020udy  0.01722  59132.84737  0.07862  0.00439  6e-05  -0.22367  0.05786  0.40046  0.00891  16.49755  0.22257  -17.84837 0.22257 
SN2021accx  0.031  59523.40922  0.05988  0.005  4e-05  0.75941  0.0584  -0.03809  0.00547  16.36416  0.11808  -19.22738 0.11808 
SN2021afcp  0.041  59551.88991  0.0  0.0033  4e-05  -0.01008  0.09499  0.05638  0.01014  16.81641  0.22013  -18.85622 0.22013 
SN2021afsj  0.01224  59561.33817  0.07028  0.02438  0.00048  -0.83585  0.08151  -0.05482  0.01235  14.6446  0.29104  -19.06249 0.29104 
SN2021dov  0.0127  59284.80949  0.22405  0.01705  0.00012  1.15104  0.09123  0.2  0.00035  15.0306  0.10252  -18.60185 0.10252 
SN2021gtp  0.02046 59309.02 0.15   0.0072 0.0001  -0.1944 0.1114  0.1097  0.0143 0.1 -18.69 0.1
SN2021hiz  0.00332  59320.6795  0.03042  0.08832  0.00085  -0.45745  0.038  0.06547  0.00613  13.24704  0.1279  -18.77075 0.1279 
SN2021hpr  0.00935  59323.03102  0.10648  0.0375  0.00072  0.43517  0.13639  0.03957  0.01573  14.17661  0.27382  -18.96312 0.27382 
SN2021J  0.00236  59234.30055  3e-05  0.16641  0.00524  0.40629  0.17117  0.09962  0.01457  12.55857  0.39508  -18.78824 0.39508 
SN2021rhu  0.00351  59410.9954  0.03625  0.19933  0.00209  -2.3906  0.05364  0.06398  0.00765  12.36428  0.12967  -18.51796 0.12967 
SN2021ucm  0.024  59435.04707  0.23466  0.00621  6e-05  1.70444  0.12319  0.10711  0.00805  16.12689  0.16868  -18.9394 0.16868 
SN2021wuf  0.01  59461.75965  0.14125  0.05488  0.00066  0.0011  0.1374  -0.08138  0.01017  13.76256  0.16445  -19.24964 0.16445 
SN2021ytp  0.065  59478.5  0.00127  0.001  0.0  -1.24906  0.0311  -0.02  0.0  18.11274  0.00015  -18.90854 0.00015 
SN2021yrf  0.01655  59480.84612  0.06251  0.01225  0.00014  -0.7934  0.04804  -0.05575  0.0074  15.39202  0.17414  -19.07102 0.17414 
SN2022fw  0.0067  59603.85601  0.17825  0.05396  0.00239  0.3738  0.2078  0.20254  0.02829  13.78002  0.60948  -18.49153 0.60948 
SN2022hrs  0.0047  59700.14293  3e-05  0.16928  0.00131  -0.37958  0.0309  0.10976  0.005  12.54035  0.09716  -18.65488 0.09716 
SN2022ydr  0.02493  59883.09 0.08   0.0017 2.1e-5  -3.0538 0.0816  0.2402 0.0097   17.50 0.1   -17.92 0.1 
SN2022zut  0.00331  59905.35001  0.25536  0.0852  0.00141  0.04658  0.07686  0.40211  0.01052  13.27792   0.21931  -17.87978 0.21931 
SN2022aaiq 0.0068   59912.34     0.21     0.0613  0.0028   0.0828   0.1804   0.0422   0.0290   13.64      0.1      -18.92    0.1  
SN2023bee  0.00769  59993.92     0.05     0.1110  0.0007   1.3552   0.0332   -0.1587   0.0043  12.99      0.1      -19.66    0.1   
