#SN           BVmax  BVmax_err 
SN2019bkh	-0.11	0.04
SN2019cth	-0.16	0.30
SN2019ein	-0.01	0.02
SN2019np	-0.12	0.04
SN2020enm	-0.09	0.03
SN2020fob	0.01	0.12
SN2020hvq	0.30	0.02
SN2020rqk	-0.11	0.03
SN2020tug	-0.17	0.08
SN2020ue	-0.08	0.03
SN2020uxz	-0.12	0.02
SN2021accx	-0.02	0.02
SN2021afsj	-0.02	0.03
SN2021dov	-0.20	0.14
SN2021gtp	0.12	0.03
SN2021hiz	-0.04	0.03
SN2021hpr	-0.04	0.04
SN2021rhu	0.15	0.04
SN2021ucm	-0.19	0.02
SN2021wuf	0.08	0.02
SN2021yrf	0.00	0.05
SN2021ytp	-0.02	0.09
SN2022aaiq	-0.04	0.10
SN2022fw	0.10	0.02
SN2022hrs	0.01	0.02
SN2022ydr	0.58	0.02
SN2022zut	0.33	0.03
SN2023bee	0.01	0.02
