#SN z tmax vexp vexp_err
SN2019bkh 0.019512 58556.965 10573.208 383.023
SN2019ein 0.00775 58619.766 12926.56 583.377
SN2019cth 0.013433 58596.677 13644.483 80.902
SN2019np 0.00442 58510.424 9760.462 349.945
SN2020enm 0.03076 58938.191 9449.099 936.738
SN2020fob 0.03151 58947.0 10164.431 932.793
SN2020hvq 0.01904 58972.64 13881.151 945.364
SN2020rqk 0.02389 59093.954 9602.382 886.995
SN2020tug 0.05 59128.054 9485.199 863.866
SN2020ue 0.003 58873.789 11135.401 587.867
SN2020uxz 0.008246 59144.365 10315.902 189.858
SN2021accx 0.031 59523.409 10008.307 438.15
SN2021afsj 0.012238 59561.338 9653.482 1502.192
SN2021dov 0.0127 59284.809 9779.242 286.012
SN2021gtp 0.019685 59309.02 10879.781 1653.95
SN2021hiz 0.003319 59320.68 9805.386 522.695
SN2021hpr 0.009346 59323.031 11132.251 559.999
SN2021rhu 0.003506 59410.995 11205.88 477.471
SN2021ucm 0.024 59435.047 11137.384 719.37
SN2021wuf 0.01 59461.76 12547.334 2528.449
SN2021ytp 0.065 59478.5 13894.441 328.465
SN2021yrf 0.01655 59480.846 11390.739 1770.599
SN2022fw 0.0067 59603.856 9551.289 354.705
SN2022hrs 0.0047 59700.143 12348.655 1256.844
SN2022aaiq 0.006484 59912.34 9346.902 349.324
SN2022ydr 0.024931 59883.09 10010.271 649.234
SN2022zut 0.003309 59905.35 11332.283 496.678
SN2023bee 0.006698 59993.92 11073.532 829.528
